sailor-id,position
gb-8153-leoya,1
gb-6391-jespo,2
gb-4036-joero,3
gb-7764-tarew,4
gb-8744-gramc,5
gb-8667-milha,6
gb-6205-catth,7
gb-8571-katgu,8
gb-8193-jasfo,9
