sailor-id,position
gb-8153-leoya,1
gb-6391-jespo,2
gb-4036-joero,3
gb-8744-gramc,4
gb-7764-tarew,5
gb-6205-catth,6
gb-8571-katgu,7
gb-8667-milha,8
gb-8193-jasfo,9
gb-6364-matem,10
gb-8907-kearh,11
gb-8713-jakbl,12
gb-6241-oliro,13
